date;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;temp_dailyMean;temp_dailyMax;temp_dailyMin;hum_7h;hum_14h;hum_19h;windBeauf_7h;windBeauf_14h;windBeauf_19h;precip
2009-01-01;10;5;10;-4.5;-0.1;-1.8;-2.4;0.0;-4.7;79;71;72;2;2;2;0
2009-01-02;10;9;10;-3.0;-1.3;-1.7;-2.2;-1.3;-3.1;67;66;68;0;2;3;Spuren
2009-01-03;3;5;1;-4.8;-1.7;-3.9;-3.7;-1.5;-5.9;83;70;70;2;2;2;0
2009-01-04;5;9;9;-3.8;-0.2;-0.5;-3.7;0.2;-7.6;75;62;63;4;4;3;Spuren
2009-01-05;9;10;10;-0.7;-0.6;-1.3;-0.7;0.0;-1.4;64;76;80;4;3;2;Spuren
2009-01-06;10;10;10;-4.4;;-4.1;-2.9;-1.3;-4.5;87;86;85;2;3;3;Spuren
2009-01-07;10;10;9;-4.0;-3.7;-5.3;-4.6;-3.6;-5.5;79;72;78;1;2;1;Spuren
2009-01-08;1;2;0;-4.4;-2.0;-5.1;-3.6;-1.4;-5.7;72;61;76;4;1;2;0
2009-01-09;0;0;1;-8.5;-2.0;-6.4;-5.2;-1.6;-8.8;86;63;79;2;2;1;0
2009-01-10;4;2;0;-10.6;-4.0;-7.2;-7.4;-3.9;-10.9;88;70;80;0;2;2;Spuren
2009-01-11;10;10;10;-7.7;-40.0;-7.2;-8.0;-7.0;-9.0;91;89;87;2;2;3;Spuren
2009-01-12;10;10;10;-7.0;-40.0;-6.6;-6.8;-6.0;-7.6;94;92;91;4;3;4;0.1
2009-01-13;10;10;10;-6.6;-6.0;;-6.3;-5.8;-6.8;88;87;89;3;3;3;Spuren
2009-01-14;10;10;10;-5.7;-3.9;-3.7;-4.9;-3.1;-6.7;87;87;86;2;1;1;4.3
2009-01-15;10;9;10;-1.2;2.8;1.4;-0.3;3.2;-3.8;79;74;81;1;2;1;0
2009-01-16;8;5;1;0.9;3.1;-0.9;1.5;3.8;-0.9;86;69;86;1;2;2;0
2009-01-17;1;5;9;-6.8;-2.2;-2.3;-4.0;-0.9;-7.1;92;80;84;1;2;2;0
2009-01-18;10;10;10;-2.6;-3.4;-2.9;-2.7;-1.6;-3.7;94;94;95;1;3;2;0.4
2009-01-19;4;7;5;2.4;6.3;2.4;2.0;6.8;-2.9;75;53;87;3;2;1;0
2009-01-20;10;10;8;2.6;5.9;3.6;3.9;6.7;1.0;93;65;83;2;2;1;Spuren
2009-01-21;10;10;10;3.2;4.4;2.2;3.1;4.5;1.7;92;83;92;2;2;2;9.1
2009-01-22;10;8;1;1.9;4.0;0.3;2.4;4.4;0.3;92;76;92;3;2;1;Spuren
2009-01-23;10;6;10;0.7;4.5;3.5;2.4;5.1;-0.3;94;79;81;3;4;3;8.3
2009-01-24;7;1;4;4.6;7.8;3.2;5.6;8.8;2.3;61;40;69;3;2;2;0
2009-01-25;9;5;2;2.9;5.7;0.8;3.6;6.6;0.6;72;53;78;3;3;1;0
2009-01-26;9;5;2;0.3;4.8;1.3;2.3;5.2;-0.7;91;66;89;1;2;2;0
2009-01-27;10;10;10;0.2;2.2;2.1;0.9;2.6;-0.8;94;90;90;1;2;2;2.8
2009-01-28;10;10;10;1.0;1.1;0.9;1.5;2.1;0.9;90;92;92;4;4;4;6.1
2009-01-29;10;10;10;-0.3;0.3;-0.2;0.2;0.9;-0.5;89;91;87;4;3;4;3.7
2009-01-30;10;10;10;-0.6;-0.2;-0.6;-0.5;-0.2;-0.7;75;76;73;3;3;3;Spuren
